Order - Number,Ship To - City,Ship To - Postal Code,Ship To - State
239907,VALENCIA,16059-1702,PA
239906,COAL VALLEY,61240-9535,IL
239905,OGDENSBURG,13669-3128,NY
239904,WINFIELD,60190-1136,IL
239903,TULSA,74114-5601,OK
239902,CHICO,95926-2404,CA
239901,NASH,75569-3041,TX
239900,MEMPHIS,38119-6727,TN
239899,SAN JOSE,95129-3128,CA
239898,MT JULIET,37122-5037,TN
239897,WESTLAKE VILLAGE,91361-5562,CA
239895,CITRONELLE,36522-2486,AL
239892,WALDORF,20601-2333,MD
239891,LINCOLN,65338-2657,MO
239889,ELKINS PARK,19027-2119,PA
239888,MONTEZUMA,31063-5902,GA
239887,BUNNELL,32110-5679,FL
239885,PALM HARBOR,34684-1502,FL
239883,OCALA,34481-7894,FL
239882,RIVER FOREST,60305-2015,IL
239881,MARTIN,38237-2308,TN
239880,MOUNTAIN BRK,35213-2913,AL
239879,RAPIDAN,22733-2104,VA
239877,NORTH CHESTERFIELD,23235-6115,VA
239876,ROCK HILL,29730-7145,SC
239875,JAMESTOWN,45335-1629,OH
239874,ATHENS,12015-5305,NY
239873,PARMA,44130-2129,OH
239872,ATHENS,12015-5305,NY
239870,EAST SETAUKET,11733-2200,NY
239869,LIGHTHOUSE POINT,33064-7227,FL
239868,HOBOKEN,07030-6868,NJ
239867,ROCHESTER,14621-4027,NY
239866,HARRISON TOWNSHIP,48045-2238,MI
239865,WILMINGTON,19807-2124,DE
239864,HILLSBORO,37342-3088,TN
239860,CHICAGO,60647-7756,IL
239859,KENNETT SQUARE,19348-4700,PA
239857,SMITHFIELD,23430-5859,VA
239856,COATESVILLE,19320-5717,PA
239853,COLUMBIA,21045-2570,MD
239852,CHICAGO,60634-3746,IL
239850,HUNTSVILLE,35802-4355,AL
239849,NORTH RIDGEVILLE,44039-8951,OH
239845,HIGHLAND PARK,60035-3598,IL
239844,CHAMPLIN,55316-1337,MN
239843,BARNHART,63012-2803,MO
239841,BELLEVILLE,62226-6319,IL
239840,PUNTA GORDA,33983-5818,FL
239838,ORLANDO,32804-5210,FL
239837,APEX,27502-9044,NC
239836,ROCKLEDGE,32955-5372,FL
239835,FORT LAUDERDALE,33301-2740,FL
239834,JACKSONVILLE,32277-1431,FL
239833,LOUISVILLE,40207-5704,KY
239832,NASHVILLE,37220-2321,TN
239830,Montgomery,45242,OH
239828,JACKSONVILLE,32225-6834,FL
239827,RINEYVILLE,40162-8606,KY
239826,GREER,29651-1604,SC
239825,MARIETTA,30066-4582,GA
239823,MADISON,37115-2542,TN
239821,NOBLESVILLE,46060-2928,IN
239817,WEBBERVILLE,48892-9272,MI
239816,CABOT,72023-8314,AR
239814,HERMITAGE,37076-1007,TN
239813,BECKLEY,25801-2731,WV
239812,BRENTWOOD,37027-5431,TN
239811,GAINESVILLE,30504-3960,GA
239807,Yorkville,13495,NY
239806,OLD BRIDGE,08857-1125,NJ
239805,HILLIARD,43026-8285,OH
239804,VERO BEACH,32963-3052,FL
239803,FERNANDINA BEACH,32034-4396,FL
239802,INDIANAPOLIS,46221-3733,IN
239801,LAKE WORTH,33467-1963,FL
239800,BLUEFIELD,24701-4440,WV
239799,MELBOURNE,32940-1114,FL
239798,Eddyville,42038,KY
239795,PORTLAND,37148-5371,TN
239794,RINGGOLD,30736-7854,GA
239793,SAINT PAUL,55105-2121,MN
239792,GROVETOWN,30813-4424,GA
239791,DEXTER,63841-8947,MO
239790,DEBARY,32713-2879,FL
239789,Murfreesboro,37129,TN
239788,TULLAHOMA,37388-4914,TN
