ZIP,LAT,LNG
96769,21.90,-160.15
96705,21.90,-159.57
96756,21.91,-159.45
96765,21.91,-159.48
96747,21.93,-159.62
96741,21.96,-159.51
96752,21.97,-159.71
96766,21.99,-159.40
96716,22.05,-159.59
96746,22.09,-159.39
96796,22.09,-159.72
96751,22.10,-159.30
96714,22.13,-159.52
96703,22.15,-159.39
96754,22.18,-159.41
96722,22.19,-159.46
33040,24.56,-81.89
33042,24.68,-81.51
33051,24.72,-81.02
33043,24.73,-81.33
33050,24.75,-81.01
33001,24.82,-80.81
33036,24.89,-80.71
33070,25.02,-80.52
33037,25.23,-80.40
33034,25.27,-80.63
33035,25.41,-80.38
33033,25.48,-80.41
33030,25.49,-80.51
33039,25.50,-80.40
33031,25.52,-80.50
33032,25.53,-80.39
33170,25.56,-80.46
33190,25.56,-80.35
33189,25.57,-80.34
33187,25.60,-80.51
33177,25.60,-80.40
33157,25.61,-80.34
33158,25.64,-80.31
33196,25.65,-80.49
33186,25.65,-80.41
33176,25.66,-80.36
33156,25.67,-80.30
33193,25.70,-80.47
33173,25.70,-80.36
33183,25.70,-80.40
33143,25.70,-80.30
33194,25.71,-80.58
33149,25.72,-80.17
33146,25.72,-80.27
33185,25.73,-80.45
33133,25.73,-80.24
33165,25.73,-80.36
33175,25.73,-80.41
33155,25.74,-80.31
33129,25.75,-80.19
33145,25.75,-80.23
33134,25.75,-80.27
33109,25.76,-80.14
33184,25.76,-80.41
33174,25.76,-80.36
33144,25.76,-80.31
33131,25.77,-80.18
33135,25.77,-80.24
33130,25.77,-80.20
33128,25.78,-80.20
33132,25.78,-80.18
33101,25.78,-80.20
33126,25.78,-80.30
33139,25.78,-80.15
33182,25.78,-80.46
33125,25.78,-80.24
33172,25.79,-80.36
33136,25.79,-80.20
33122,25.79,-80.29
33142,25.81,-80.24
33127,25.81,-80.21
33137,25.82,-80.17
34138,25.82,-81.37
33140,25.82,-80.13
33166,25.83,-80.32
34139,25.83,-81.40
33010,25.83,-80.28
33178,25.83,-80.42
33147,25.85,-80.24
33141,25.85,-80.14
33150,25.85,-80.21
33138,25.85,-80.18
33013,25.86,-80.27
33012,25.87,-80.30
33154,25.88,-80.13
33167,25.88,-80.24
33168,25.89,-80.21
33161,25.89,-80.18
33016,25.90,-80.33
33181,25.90,-80.15
33014,25.90,-80.30
34145,25.90,-81.68
33054,25.91,-80.27
33018,25.92,-80.38
34140,25.93,-81.66
33162,25.93,-80.18
33160,25.93,-80.14
33015,25.94,-80.32
34137,25.94,-81.38
33169,25.94,-80.21
34114,25.94,-81.54
78521,25.94,-97.32
34141,25.95,-81.10
33055,25.95,-80.28
33056,25.95,-80.24
33179,25.96,-80.18
33180,25.96,-80.14
78520,25.96,-97.55
33029,25.97,-80.42
33009,25.99,-80.15
33027,25.99,-80.34
33025,25.99,-80.28
78526,25.99,-97.44
33023,25.99,-80.22
33332,26.01,-80.46
33020,26.02,-80.15
33028,26.02,-80.34
78575,26.02,-97.53
33021,26.02,-80.19
33026,26.03,-80.30
33024,26.03,-80.24
33019,26.03,-80.12
34101,26.03,-81.76
34113,26.04,-81.73
78578,26.05,-97.31
78567,26.05,-97.74
33004,26.06,-80.14
33331,26.06,-80.37
33330,26.06,-80.32
78592,26.06,-97.85
33314,26.07,-80.22
33328,26.07,-80.27
78579,26.08,-97.96
33315,26.09,-80.15
33312,26.09,-80.18
33316,26.10,-80.12
78586,26.11,-97.63
33327,26.11,-80.42
33325,26.11,-80.32
33324,26.11,-80.27
33317,26.11,-80.23
78557,26.11,-98.24
33326,26.11,-80.37
34112,26.12,-81.74
33301,26.12,-80.13
34102,26.14,-81.80
33304,26.14,-80.12
33311,26.14,-80.17
78516,26.14,-98.12
78566,26.15,-97.37
78559,26.15,-97.83
34104,26.15,-81.74
33322,26.15,-80.27
33313,26.15,-80.23
78577,26.15,-98.19
33323,26.15,-80.32
33305,26.15,-80.12
78596,26.16,-97.99
78537,26.16,-98.06
78503,26.16,-98.25
33306,26.17,-80.11
